NN,8587,32.0637765580075
DT,3812,14.2339718457115
IN,3049,11.3849370822598
JJ,2578,9.62622754938202
NNS,1966,7.3410253537956
VBZ,918,3.42780329337964
VBG,914,
VBP,819,
PRP$,755,
RB,721,
VBD,504,
VB,404,
PRP,360,
TO,326,
VBN,255,
CC,147,
CD,123,
RP,121,
WRB,72,
JJR,69,
PDT,54,
JJS,48,
MD,46,
WP,34,
RBR,27,
WDT,23,
:,22,
EX,14,
NNP,6,
UH,3,
FW,3,
RBS,1,
,,
,26781,0.003733990515664
